"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"35","Reducing your meat and dairy intake can help mitigate climate change. Melissa Clark’s personal guide to eating less… https://t.co/3FvQTqv7ET",FALSE,895,NA,2020-01-05 08:30:08,TRUE,NA,"1213739443271749632",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","nytimes",247,FALSE,FALSE,NA,NA
"36","“We’re dusty old woodworkers, not trained therapists. But so many times now, giving somebody something to do has pr… https://t.co/tSiUu0jLkP",FALSE,573,NA,2020-01-05 07:50:27,TRUE,NA,"1213729457200123904",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","nytimes",130,FALSE,FALSE,NA,NA
"37","There's a new surge of male fertility start-ups that hope to rebalance responsibilities around family planning, but… https://t.co/KQMyQKPQUv",FALSE,142,NA,2020-01-05 07:30:08,TRUE,NA,"1213724344909778945",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","nytimes",44,FALSE,FALSE,NA,NA
"38","The Carolina parakeet was beautiful, and doomed. A newly sequenced genome offers clues to how it became America’s n… https://t.co/wGCji3bevH",FALSE,546,NA,2020-01-05 06:53:07,TRUE,NA,"1213715031390638082",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","nytimes",133,FALSE,FALSE,NA,NA
"39","The largest steel factory in Italy's economically depressed south is teetering on closing, a victim of declining in… https://t.co/ftDNYeD3GC",FALSE,172,NA,2020-01-05 06:30:03,TRUE,NA,"1213709225857343488",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","nytimes",70,FALSE,FALSE,NA,NA
"40","“Climate change is a chief reason for the increased interest in visiting Antarctica,” said one travel planner. “We… https://t.co/0eht4ysR1V",FALSE,957,NA,2020-01-05 05:51:19,TRUE,NA,"1213699477317521408",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","nytimes",249,FALSE,FALSE,NA,NA
"41","""This could be the beginning of a new politics for Muslims and for India as well,"" said one Muslim doctor who atten… https://t.co/rSYBMG9gR6",FALSE,871,NA,2020-01-05 05:30:05,TRUE,NA,"1213694133665226753",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","nytimes",296,FALSE,FALSE,NA,NA
"42","“We don’t know what we deserve most of the time, but I’m telling you, you deserve better,” Domino Kirke writes for… https://t.co/8kQESetPbt",FALSE,231,NA,2020-01-05 04:54:18,TRUE,NA,"1213685130079985664",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","nytimes",51,FALSE,FALSE,NA,NA
"43","The Titans upset the Patriots in a playoff shocker. It may have been Tom Brady’s last game for the Patriots.
https://t.co/6BAH4fhPFj",FALSE,2606,NA,2020-01-05 04:43:37,FALSE,NA,"1213682438964174849",NA,"<a href=""http://www.nytimes.com/twitter"" rel=""nofollow"">The New York Times</a>","nytimes",342,FALSE,FALSE,NA,NA
"44","Chani Nicholas's new book is a self-help manual mixed with a more practical, self-determining career guide — a kind… https://t.co/seDF2ni1Ty",FALSE,141,NA,2020-01-05 04:30:06,TRUE,NA,"1213679036519587841",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","nytimes",26,FALSE,FALSE,NA,NA
"45","Our annual guide to the lessons we learned and how to put them to use in 2020 https://t.co/LIj28FjaAN",FALSE,268,NA,2020-01-05 03:52:42,FALSE,NA,"1213669628209225730",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","nytimes",64,FALSE,FALSE,NA,NA
"46","""A city afflicted by nostalgia might enjoy a return to hailing a ride by hand,"" writes @GiniaNYT
https://t.co/eAuh0MRki0",FALSE,123,NA,2020-01-05 03:30:03,FALSE,NA,"1213663926124236800",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","nytimes",39,FALSE,FALSE,NA,NA
"47","On Sunday, Earth is at its closest approach to the sun, offering an opportunity to consider whether there's somethi… https://t.co/Is6wwrA40g",FALSE,575,NA,2020-01-05 03:00:08,TRUE,NA,"1213656398971703296",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","nytimes",182,FALSE,FALSE,NA,NA
"48","In Opinion

The editorial board writes, ""If it seems that Trump officials are trying to hide key communications abo… https://t.co/07xEwUHjbk",FALSE,809,NA,2020-01-05 02:30:03,TRUE,NA,"1213648824956260354",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","nytimes",318,FALSE,FALSE,NA,NA
"49","""We’ve never seen fires like this, not to this extent, not all at once, and the reservoir of animals that could com… https://t.co/ABMrg2V5XK",FALSE,1791,NA,2020-01-05 02:00:07,TRUE,NA,"1213641292669968384",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","nytimes",1188,FALSE,FALSE,NA,NA
"50","President Trump opted to kill Iran’s top general despite aides’ disputes about intelligence warning of new threats.… https://t.co/gigM9DwTLV",FALSE,8694,NA,2020-01-05 01:30:43,TRUE,NA,"1213633893162766336",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","nytimes",4866,FALSE,FALSE,NA,NA
"51","The low-carb, high-fat keto diet is hailed for burning more calories, reducing hunger, and helping to manage seizur… https://t.co/zz6ozXZz7s",FALSE,386,NA,2020-01-05 01:29:51,TRUE,NA,"1213633677332287489",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","nytimes",101,FALSE,FALSE,NA,NA
"52","Here are 8 simple ways to be a little kinder to yourself in 2020. https://t.co/oVPPdNV4zN",FALSE,916,NA,2020-01-05 00:51:20,FALSE,NA,"1213623984056606721",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","nytimes",329,FALSE,FALSE,NA,NA
"53","50 years after the death of Emily Hale, T.S. Eliot's purported muse, Princeton University has unveiled hundreds of… https://t.co/9OVD7RJGYJ",FALSE,375,NA,2020-01-05 00:30:07,TRUE,NA,"1213618646481874946",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","nytimes",106,FALSE,FALSE,NA,NA
"54","Researchers who examined 1,300 top films from 2007 through 2019 have found that on average just 4.8% were directed… https://t.co/TtFlIcZc1o",FALSE,1134,NA,2020-01-04 23:54:44,TRUE,NA,"1213609742041518080",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","nytimes",227,FALSE,FALSE,NA,NA
"55","The American assassination of General Suleimani may make it impossible for U.S. forces to stay in Iraq. That could… https://t.co/WK4J2Wdrbg",FALSE,2424,NA,2020-01-04 23:30:12,TRUE,NA,"1213603564859412482",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","nytimes",1376,FALSE,FALSE,NA,NA
"56","Thousands of people gathered for more than 80 antiwar protests across the U.S. — in cities including Washington, Ne… https://t.co/rUJNQEKJUV",FALSE,2040,NA,2020-01-04 23:00:05,TRUE,NA,"1213595988029509633",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","nytimes",934,FALSE,FALSE,NA,NA
"57","If you think New York City is blanketed in scaffolding, you are correct — and life adapts under the 300 miles of it… https://t.co/1VMkGzeB6B",FALSE,320,NA,2020-01-04 22:22:54,TRUE,NA,"1213586628280803328",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","nytimes",69,FALSE,FALSE,NA,NA
"58","At Fort Bragg, which is regarded as America's rapid-response force, some 3,500 soldiers are bound for the Middle Ea… https://t.co/SFJX9toLke",FALSE,897,NA,2020-01-04 22:00:10,TRUE,NA,"1213580908562931714",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","nytimes",476,FALSE,FALSE,NA,NA
"59","PragerU, a growing hub of the online right-wing media machine, is using YouTube as a way to circumvent professors —… https://t.co/nhl0w6trXR",FALSE,3391,NA,2020-01-04 21:40:48,TRUE,NA,"1213576036824301569",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","nytimes",908,FALSE,FALSE,NA,NA
"60","The White House has told Congress that on Saturday, under the War Powers Act, it plans to send formal notification… https://t.co/ACdD0Mu9I8",FALSE,340,NA,2020-01-04 21:20:01,TRUE,NA,"1213570805646417924",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","nytimes",152,FALSE,FALSE,NA,NA
"61","David Bucci, a department head at Dartmouth, was named in a sexual misconduct lawsuit against the college that accu… https://t.co/NpFJ1Xc2qM",FALSE,167,NA,2020-01-04 20:49:42,TRUE,NA,"1213563173296623623",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","nytimes",53,FALSE,FALSE,NA,NA
"62","Mike Pompeo tweeted a video he said showed Iraqis celebrating the death of General Suleimani. His description was e… https://t.co/ZgoU0adAzk",FALSE,3329,NA,2020-01-04 20:20:07,TRUE,NA,"1213555728478298114",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","nytimes",1506,FALSE,FALSE,NA,NA
"63","The deep grievances that ignited protests in Iran in November over economic hardship, international isolation, and… https://t.co/GQjVRjH1gh",FALSE,245,NA,2020-01-04 20:00:08,TRUE,NA,"1213550702552899584",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","nytimes",82,FALSE,FALSE,NA,NA
"64","""U.S. officials have justified the assassination as retribution for the general’s actions and deterrence of future… https://t.co/vGa1KqzKuo",FALSE,431,NA,2020-01-04 19:38:38,TRUE,NA,"1213545288595595265",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","nytimes",131,FALSE,FALSE,NA,NA
"65","A father and his 9-year-old daughter were shot and killed after being mistaken for deer during a New Year's Day hun… https://t.co/qcpEOSsuQi",FALSE,756,NA,2020-01-04 19:10:02,TRUE,NA,"1213538094416314368",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","nytimes",370,FALSE,FALSE,NA,NA
"66","""I’m angry at this administration, and even Obama’s administration for that matter. U.S. foreign policy, especially… https://t.co/Ke4Er7wURS",FALSE,491,NA,2020-01-04 18:50:03,TRUE,NA,"1213533063549980677",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","nytimes",107,FALSE,FALSE,NA,NA
"67","The latest skin care secret? Oh, just water. Feeling sluggish? You probably need more water. Uninspired and utterly… https://t.co/3ogA3TFyPt",FALSE,489,NA,2020-01-04 18:30:04,TRUE,NA,"1213528036651491328",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","nytimes",131,FALSE,FALSE,NA,NA
